country;gdp;unempl;infl
AT;58850;5,70%;1,50%
BE;54029;5,70%;1,20%
BG;24247;5,30%;2,50%
CH;72008;5,10%;0,40%
CY;41656;6,80%;0,50%
CZ;42670;3,20%;2,60%
DE;56226;4,50%;1,40%
DK;59719;6,10%;0,70%
EE;38540;7,20%;2,30%
ES;43154;16,10%;0,80%
FI;50748;8,40%;1,10%
FR;49799;8,00%;1,30%
GB;48727;4,90%;1,30%
GR;31572;14,20%;0,50%
HR;29828;7,10%;0,80%
HU;33992;4,50%;3,40%
IE;91959;5,80%;0,90%
IS;;;
IT;44161;10,20%;0,60%
LT;32014;8,70%;2,20%
LV;38587;9,60%;2,70%
ME;22343;17,30%;
NL;59693;3,60%;2,70%
NO;65904;5%;2,30%
PL;34484;3,10%;2,10%
PT;36246;6,90%;0,30%
SE;55265;8,90%;1,70%
SI;40717;4,90%;1,70%
SK;34202;7,30%;2,80%
